order_id,order_date,customer_name,customer_email,customer_city,product_name,category,unit_price,quantity
1368,2025-01-01,Tomás Díaz,tomás.diaz21@mail.com,Mendoza,"Notebook 15""",Computadoras,722500,2
1368,2025-01-01,Tomás Díaz,tomás.diaz21@mail.com,Mendoza,Webcam HD,Periféricos,16650,2
1368,2025-01-01,Tomás Díaz,tomás.diaz21@mail.com,Mendoza,Teclado mecánico,Periféricos,32000,4
1539,2025-01-01,Agustina Rodríguez,agustina.rodriguez34@mail.com,Buenos Aires,Router WiFi,Redes,38000,4
1539,2025-01-01,Agustina Rodríguez,agustina.rodriguez34@mail.com,Buenos Aires,"Notebook 15""",Computadoras,722500,1
1539,2025-01-01,Agustina Rodríguez,agustina.rodriguez34@mail.com,Buenos Aires,Silla ergonómica,Muebles,210000,4
1588,2025-01-01,Juan Gómez,juan.gomez0@mail.com,San Juan,"Monitor 24""",Monitores,123250,4
1588,2025-01-01,Juan Gómez,juan.gomez0@mail.com,San Juan,SSD 1TB,Almacenamiento,58500,1
1588,2025-01-01,Juan Gómez,juan.gomez0@mail.com,San Juan,Webcam HD,Periféricos,18500,4
1015,2025-01-02,Franco Fernández,franco.fernández24@mail.com,Córdoba,Webcam HD,Periféricos,16650,3
1015,2025-01-02,Franco Fernández,franco.fernández24@mail.com,Córdoba,Mochila para notebook,Accesorios,24000,4
1459,2025-01-02,Emilio Díaz,emilio.diaz15@mail.com,Mendoza,Router WiFi,Redes,38000,1
1510,2025-01-03,Camila Acosta,camila.acosta2@mail.com,Mendoza,Hub USB-C,Periféricos,12500,1
1510,2025-01-03,Camila Acosta,camila.acosta2@mail.com,Mendoza,"Notebook 15""",Computadoras,850000,2
1510,2025-01-03,Camila Acosta,camila.acosta2@mail.com,Mendoza,Silla ergonómica,Muebles,189000,2
1542,2025-01-03,Camila López,camila.lopez12@mail.com,Córdoba,Cargador rápido,Accesorios,8075,1
1542,2025-01-03,Camila López,camila.lopez12@mail.com,Córdoba,Mouse inalámbrico,Periféricos,7650,1
1542,2025-01-03,Camila López,camila.lopez12@mail.com,Córdoba,Hub USB-C,Periféricos,12500,2
1148,2025-01-04,Santiago López,santiago.lopez7@mail.com,San Juan,Cargador rápido,Accesorios,9500,2
1148,2025-01-04,Santiago López,santiago.lopez7@mail.com,San Juan,"Notebook 15""",Computadoras,722500,4
1108,2025-01-05,Micaela Martínez,micaela.martinez42@mail.com,Buenos Aires,Webcam HD,Periféricos,18500,2
1108,2025-01-05,Micaela Martínez,micaela.martinez42@mail.com,Buenos Aires,Router WiFi,Redes,38000,4
1343,2025-01-05,Martín Martínez,martin.martinez33@mail.com,Rosario,Router WiFi,Redes,38000,3
1343,2025-01-05,Martín Martínez,martin.martinez33@mail.com,Rosario,"Monitor 24""",Monitores,130500,2
1343,2025-01-05,Martín Martínez,martin.martinez33@mail.com,Rosario,Mochila para notebook,Accesorios,24000,4
1434,2025-01-05,Agustina Flores,agustina.flores51@mail.com,Córdoba,Webcam HD,Periféricos,18500,3
1355,2025-01-06,Sofía Gómez,sofia.gomez44@mail.com,Mendoza,Mochila para notebook,Accesorios,20400,3
1074,2025-01-07,Rocío Rodríguez,rocio.rodriguez55@mail.com,San Juan,Webcam HD,Periféricos,18500,4
1074,2025-01-07,Rocío Rodríguez,rocio.rodriguez55@mail.com,San Juan,Mochila para notebook,Accesorios,24000,2
1074,2025-01-07,Rocío Rodríguez,rocio.rodriguez55@mail.com,San Juan,Router WiFi,Redes,34200,3
1348,2025-01-07,Mateo Flores,mateo.flores56@mail.com,La Plata,SSD 1TB,Almacenamiento,55250,4
1348,2025-01-07,Mateo Flores,mateo.flores56@mail.com,La Plata,"Monitor 24""",Monitores,145000,4
1361,2025-01-07,Agustina Romero,agustina.romero54@mail.com,Buenos Aires,Mouse inalámbrico,Periféricos,8500,4
